# <defaultcodec>utf-8</defaultcodec>
Statistic export
Line 1: Line strain (technical) [%], Line 2: Line strain (technical) [%], Line 3: Line strain (technical) [%], Time [s], areaGB1 (Average): Epsilon X [%], areaGB1 (Maximum): Epsilon X [%], areaGB1 (Minimum): Epsilon X [%], areaGB1 (Points): Epsilon X, areaGB1 (Sigma): Epsilon X [%]
-6.36667794e-02, -6.34149004e-02, -5.29875178e-02, 4.89983550e+01, 1.78638899e-02, 7.90941656e-01, -6.81837916e-01, 1.00900000e+03, 1.21163314e-01
-6.89681341e-02, -6.53775516e-02, -4.32383463e-02, 4.99961620e+01, 1.84605875e-02, 9.13868606e-01, -8.49015057e-01, 1.00900000e+03, 1.15672985e-01
-7.04428545e-02, -6.90342351e-02, -4.79700392e-02, 5.09924560e+01, 2.05559701e-02, 1.05866158e+00, -9.80425060e-01, 1.00900000e+03, 1.24074701e-01
-7.63284125e-02, -7.02743613e-02, -6.32069610e-02, 5.19991180e+01, 2.39161728e-02, 9.93846297e-01, -8.88762593e-01, 1.00900000e+03, 1.26373134e-01
-8.36945926e-02, -6.54304075e-02, -7.24060596e-02, 5.29971070e+01, 2.50453894e-02, 9.10417259e-01, -8.41606796e-01, 1.00900000e+03, 1.21674782e-01
-8.95880579e-02, -8.40293919e-02, -7.95810463e-02, 5.39981010e+01, 2.59156625e-02, 1.02932775e+00, -9.15590823e-01, 1.00900000e+03, 1.29506039e-01
-9.59856306e-02, -9.28207084e-02, -8.56763273e-02, 5.49983000e+01, 2.71047259e-02, 1.24797738e+00, -1.12227106e+00, 1.00900000e+03, 1.38526350e-01
-9.28278260e-02, -8.38784913e-02, -7.65901240e-02, 5.59971090e+01, 2.64008596e-02, 8.40094686e-01, -7.16034055e-01, 1.00900000e+03, 1.30212899e-01
-1.06729001e-01, -9.70908624e-02, -7.97177892e-02, 5.69923280e+01, 3.11705011e-02, 1.30299890e+00, -1.14503634e+00, 1.00900000e+03, 1.45342056e-01
-1.08814680e-01, -1.05476640e-01, -8.34164453e-02, 5.80002620e+01, 3.25558569e-02, 1.16895998e+00, -1.01556420e+00, 1.00900000e+03, 1.36210261e-01
-1.17708061e-01, -1.08280268e-01, -9.56683986e-02, 5.89991710e+01, 3.40408095e-02, 1.00503457e+00, -9.16092813e-01, 1.00900000e+03, 1.35175886e-01
-1.06076185e-01, -1.09364655e-01, -9.43559436e-02, 5.99962560e+01, 3.50259965e-02, 1.02208364e+00, -9.16827679e-01, 1.00900000e+03, 1.39231635e-01
-1.25140392e-01, -1.26113716e-01, -9.63812783e-02, 6.09982060e+01, 3.81911852e-02, 9.57125783e-01, -7.89288402e-01, 1.00900000e+03, 1.35755585e-01
-1.32971371e-01, -1.35602669e-01, -1.08740318e-01, 6.19971340e+01, 4.21246001e-02, 1.02941632e+00, -8.98600042e-01, 1.00900000e+03, 1.42786519e-01
-1.27824585e-01, -1.32339869e-01, -1.10774592e-01, 6.29991270e+01, 4.28464050e-02, 1.40708911e+00, -1.22865093e+00, 1.00900000e+03, 1.52730818e-01
-1.36815263e-01, -1.37412257e-01, -1.10473474e-01, 6.39992530e+01, 4.36168737e-02, 1.14957964e+00, -9.97926533e-01, 1.00900000e+03, 1.56196681e-01
-1.63390345e-01, -1.63017544e-01, -1.33793244e-01, 6.49973300e+01, 4.67195312e-02, 1.27860451e+00, -1.09237444e+00, 1.00900000e+03, 1.56017555e-01
-1.52800564e-01, -1.57689336e-01, -1.31306235e-01, 6.59945220e+01, 4.69072818e-02, 1.32409370e+00, -1.12776124e+00, 1.00900000e+03, 1.50141277e-01
-1.54978714e-01, -1.58653826e-01, -1.33689859e-01, 6.69980990e+01, 4.96174872e-02, 1.35657394e+00, -1.19682884e+00, 1.00900000e+03, 1.59268872e-01
-1.69848546e-01, -1.56138941e-01, -1.28606975e-01, 6.79999950e+01, 5.14658989e-02, 1.52009666e+00, -1.25184822e+00, 1.00900000e+03, 1.65556465e-01
-1.70042003e-01, -1.62654074e-01, -1.49214075e-01, 6.90001050e+01, 5.69894271e-02, 1.40959084e+00, -1.15238285e+00, 1.00900000e+03, 1.61596980e-01
-1.84025995e-01, -1.79915551e-01, -1.34474720e-01, 7.00009630e+01, 5.99543768e-02, 1.18056488e+00, -8.76691997e-01, 1.00900000e+03, 1.58803562e-01
-1.88396980e-01, -1.83227852e-01, -1.53080449e-01, 7.09981770e+01, 5.60739046e-02, 1.42165864e+00, -1.13198078e+00, 1.00900000e+03, 1.67242058e-01
-2.01287415e-01, -2.00908576e-01, -1.61074962e-01, 7.19989350e+01, 6.75321862e-02, 1.52728021e+00, -1.21106136e+00, 1.00800000e+03, 1.79239442e-01
-2.03100923e-01, -1.98445976e-01, -1.59200320e-01, 7.29971880e+01, 6.23912688e-02, 1.63660967e+00, -1.33444798e+00, 1.00900000e+03, 1.90970187e-01
-1.98854134e-01, -1.90687909e-01, -1.54975822e-01, 7.39963280e+01, 6.46831729e-02, 1.42261732e+00, -1.03956103e+00, 1.00900000e+03, 1.72836079e-01
-1.99656372e-01, -1.90640905e-01, -1.52663127e-01, 7.49990300e+01, 6.78194602e-02, 1.42207193e+00, -1.05777121e+00, 1.00900000e+03, 1.69958664e-01
-2.13920889e-01, -2.10474340e-01, -1.67060380e-01, 7.60000830e+01, 6.83817484e-02, 1.63487196e+00, -1.26901841e+00, 1.00800000e+03, 1.76503432e-01
-2.18512778e-01, -2.11101269e-01, -1.96127067e-01, 7.69983340e+01, 6.99163539e-02, 1.58473825e+00, -1.29072714e+00, 1.00900000e+03, 2.01134862e-01
-2.30137962e-01, -2.16343566e-01, -1.74424496e-01, 7.79914760e+01, 7.03406128e-02, 1.67123520e+00, -1.31523788e+00, 1.00900000e+03, 2.02249879e-01
-2.42867781e-01, -2.27571783e-01, -1.74752400e-01, 7.89972440e+01, 7.34332408e-02, 1.56382143e+00, -1.20115805e+00, 1.00900000e+03, 1.99141274e-01
