# <defaultcodec>utf-8</defaultcodec>
Statistic export
Line 1: Line strain (technical) [%], Line 2: Line strain (technical) [%], Line 3: Line strain (technical) [%], Time [s], areaGB1 (Average): Epsilon X [%], areaGB1 (Maximum): Epsilon X [%], areaGB1 (Minimum): Epsilon X [%], areaGB1 (Points): Epsilon X, areaGB1 (Sigma): Epsilon X [%]
-1.67435049e-01, -1.51175808e-01, -1.90219971e-01, 8.19985720e+01, 3.27615450e-02, 4.88197327e-01, -7.73203075e-01, 7.39000000e+02, 1.06388022e-01
-1.83730598e-01, -1.48517568e-01, -1.96163391e-01, 8.30052950e+01, 3.22206568e-02, 5.31721532e-01, -7.72850513e-01, 7.39000000e+02, 1.10775873e-01
-1.67711794e-01, -1.60255782e-01, -2.06473969e-01, 8.40002480e+01, 3.32458133e-02, 5.38094044e-01, -6.59218252e-01, 7.39000000e+02, 1.12029525e-01
-1.86958114e-01, -1.63830135e-01, -1.98621147e-01, 8.50002940e+01, 3.21983158e-02, 5.34873486e-01, -8.17838669e-01, 7.39000000e+02, 1.11694471e-01
-2.22319738e-01, -1.78535519e-01, -2.22009909e-01, 8.60031950e+01, 3.50756075e-02, 5.22112429e-01, -8.40564251e-01, 7.38000000e+02, 1.12597277e-01
-2.44799750e-01, -1.93039094e-01, -2.31695952e-01, 8.70032660e+01, 4.09333375e-02, 5.21496654e-01, -6.01742148e-01, 7.39000000e+02, 1.11245744e-01
-2.25339454e-01, -1.99663935e-01, -2.37528988e-01, 8.79993370e+01, 3.90558262e-02, 5.28505743e-01, -6.20473266e-01, 7.39000000e+02, 1.13859065e-01
-2.15414732e-01, -1.92631315e-01, -2.31710420e-01, 8.90015150e+01, 3.88969213e-02, 5.06649971e-01, -7.69814074e-01, 7.39000000e+02, 1.16897087e-01
-2.36324311e-01, -2.15720454e-01, -2.66294548e-01, 9.00026000e+01, 4.43396154e-02, 5.89150429e-01, -5.23527503e-01, 7.39000000e+02, 1.12858721e-01
-2.50834668e-01, -2.04489715e-01, -2.49613422e-01, 9.10003580e+01, 4.21042215e-02, 4.98948455e-01, -6.93958223e-01, 7.39000000e+02, 1.12435433e-01
-2.36994305e-01, -2.07659365e-01, -2.43275980e-01, 9.20044240e+01, 4.34446860e-02, 5.58194637e-01, -6.01750195e-01, 7.39000000e+02, 1.14963889e-01
-2.62371857e-01, -2.08209173e-01, -2.54426564e-01, 9.30012620e+01, 4.50540307e-02, 5.43845654e-01, -5.08407831e-01, 7.39000000e+02, 1.16423047e-01
